Year,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min
Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.1,29.7,32.1,34.5,32.2,29,28,27.9,29.2,28.3,27.1,25.3,,16.1,17.5,17.8,21,20.5,19.5,18.8,18.7,19.4,18.7,17.4,14.4
1902,27.2,29.5,33.3,33.7,33.5,30.5,28.6,29.1,27.3,27.6,26.3,26,,14.1,15.1,18.5,20.8,20.7,19.8,19.1,19.4,18.7,18.3,17.5,16.6
1903,27.5,30.2,33.8,35,32.9,29.9,27.7,27.2,27.1,27,24.8,24.8,,15.7,16.5,18.8,20.4,20.7,19.7,19.1,18.8,19,18.4,16.6,14.3
1904,26.1,29.2,32.8,34.3,31.9,27.6,26.9,27.8,28.8,28.3,27.5,26,,13.9,14.7,17.8,20.5,19.8,18.7,18.2,18.2,18.2,18.4,14.9,14
1905,27.6,30.7,32.7,33.5,33.1,30,28.8,28.5,28.4,28,27.1,27.5,,14.2,16.7,18.7,20.3,20.8,19.7,18.9,18.8,18.7,18.2,17,13.2
1906,28.7,31.5,32.5,36.1,35.6,29.9,27.8,27.1,26.5,27.7,27.3,25.5,,15.8,17,17.8,21.6,21.3,19.5,19,18.9,18.2,18.3,17.1,15.9
1907,27,30.5,32.6,32,33.2,29,27.8,26.6,29,28.9,26.8,26.8,,14.2,15.7,18.2,19.6,19.9,19,18.9,18.3,18.5,18.3,17.1,14.7
1908,27.5,30,32.5,35.2,32.9,30.6,26.7,27.6,28.3,28.7,28,27,,14.8,15.3,17.1,21.1,20.2,19.2,18.5,18.3,19,18.6,15.2,13.6
1909,27.9,30.8,34,33.5,31.6,29.8,27.2,27.6,27,28.7,28.3,27.9,,14.6,15.6,18,20.5,20.6,19.4,18.6,19.3,18.5,18.2,17.2,15.5
1910,28.3,30.5,33.7,35.1,34.4,29.5,28.4,26.6,26.2,27.1,25.1,25.8,,14.2,15.3,18.4,20.7,20.8,19.5,19.2,18.8,18.2,18.5,16,12.4
1911,28,29.2,32.5,34.3,33.2,29.3,27.3,28,30,28.1,27.4,26.1,,14.3,13.6,18.4,20.5,20.1,19.3,18.5,18.1,18.6,18.1,17.1,15.8
1912,28.1,31,33.4,35,35,29.6,27.4,27.7,28.1,27.2,26.1,26.1,,13.1,17.6,19.1,21,21.6,19.4,18.8,18.8,18.9,18.6,16.6,13.7
1913,26.9,30.1,33.5,35.2,34.2,29.7,27.1,28.2,29.7,27.8,27.5,27.5,,13.1,16.4,18.6,21.2,20.9,19.3,18.7,18.4,19,18,16,15.5
1914,27.3,31.5,33.8,34.1,34,31.6,27.6,27.4,28.9,28,27.3,27.7,,13.3,16,18.9,20.8,21.2,19.7,19.2,18.8,19.2,18.3,16.7,15.8
1915,28,31.2,32.1,34.4,33.8,30,28.3,29.1,28.7,29.1,26.7,25.8,,15.5,16.7,19.2,20.9,20.8,20,19.7,19.3,19.2,18.8,18,14.2
1916,27,30.6,33.7,35.2,33.2,27.8,28.2,27,27.5,27.1,26,25.5,,13.2,16.2,18.2,21.3,20.6,19.2,19.4,18.7,18.7,18.9,17,14.1
1917,26.6,28.4,32.1,34,32.6,27.8,29.1,27.7,27.1,26.7,26.7,26.7,,13.5,15.7,17.6,20.6,19.8,19.1,19,19.1,19,18,17.4,14.2
1918,26,29.1,31.8,33.7,30.8,29.3,29.8,28.4,28.7,30.2,27.5,26.5,,14.8,14,16.8,20.4,19.9,18.7,18.8,18.7,18.7,18.5,18.7,15.5
1919,28.3,31.1,33.2,35.3,32.7,28.7,28,27.8,28.5,28.5,26.5,26.2,,16.2,17,18.2,21.6,20.6,19.5,19.2,18.8,19,18.8,17.6,15.8
1920,26.2,30.8,33.7,34,34.5,30,28.3,28.4,28.2,28.3,26.4,27.7,,14.8,16.3,18.8,20.6,20.6,19.5,19,18.6,19,18.8,17.7,12.8
1921,28.2,30.7,34.3,33.1,34.6,29.6,28.1,28.1,27.2,27.8,26.7,26.6,,15.7,15,18.1,20.5,21,19.5,19.3,18.9,18.3,18.2,15.5,13.8
1922,27.7,30.1,33.9,34.9,32.8,29.7,27.6,28,28.6,27.5,26.1,26.1,,15,15.1,18.6,20.7,20.3,19.1,18.7,18.6,18.5,18.3,17.5,13.2
1923,26.7,29.9,31.5,33.7,33.9,30.7,26.3,27.5,27.7,28.8,29.3,28,,14.3,15.7,18.5,20.5,20.2,19.6,18.6,18.6,18.5,18.5,16.9,15.8
1924,28.7,31.8,34.1,35.6,34.9,29.5,27.1,27.9,27.8,28.7,27.4,27.4,,14.8,16.5,17.8,21.8,21.5,19.5,19,19.1,19.1,18.6,16.8,14.4
1925,29.5,31.3,33.1,35.1,30.8,30,28.1,27.7,29.5,28.5,27.3,25.9,,14.5,15.2,18.5,21.3,20.1,19.5,18.7,19,19,18.1,16.8,16
1926,28.1,31.1,33.7,33.8,34.8,33.1,29.2,28.3,28.2,28.8,28.7,28.6,,16.1,16.2,19.7,21.2,21.7,20.6,19.7,19.2,19,18.5,16.4,15
1927,29.5,31.6,34.1,36.1,34.9,29.8,26.9,28.5,29,28.8,27.1,27.9,,15.7,17.3,20.3,21.5,21,19.5,18.7,18.8,18.8,18.1,16.7,15.5
1928,29,30.5,33.7,35.2,35.5,30.5,28,27.3,29.6,27.8,27.5,26.2,,15.5,17,18.1,21.3,21.5,19.7,19.2,18.7,19,19.2,17.3,15.7
1929,28.6,30.1,33.3,33.1,32.9,29.7,29.3,29.9,29.7,28,27.3,27.4,,15.3,17.1,17.7,20.5,20.8,19.3,19,19.2,19.1,18.8,16.8,15.7
1930,28.6,29.9,33.5,34.8,31.9,30.5,28.9,29,29.1,27.5,26.7,26.8,,15,16.5,18.3,21,20.8,19.9,18.9,18.9,19.1,19,17.2,15.8
1931,27.7,31.7,33.8,35.3,35.3,30.6,29.1,28.8,28.3,29.1,27.1,25.7,,14.9,15.5,19.5,22,21.6,20.3,19.5,19.7,18.7,18.8,17.6,16.2
